Text,No of words,No of questoning words,label,question mark
Can you tell me for a M cross N matrix where M rows and N columns are there What is the maximum rank of this matrix?,26,2,question,TRUE
Can you tell me what is rank of a matrix?,10,1,question,TRUE
 what is rank of a matrix?,6,1,question,TRUE
How do you find out how? What is the rank of a matrix?,13,2,question,TRUE
What is mean?,3,1,question,TRUE
what is median?,3,1,question,TRUE
"2,3 and 10, so the. Median will be three because there are odd number of values, so the middle number will be the median.",24,0,answer,TRUE
"Are you sure? Because would it not be 10 + 2 / 2 which is equal to six, so that is the middle value in the range of values Which are appearing",32,2,question,TRUE
 when should we use mean and when should we use median? Why are there two central tendencies dealing with numbers?,20,3,question,TRUE
"what are the Different kinds of window functions, you know Which can be used?",14,2,question,TRUE
"You are a ML engineer employed in a company which is dealing with let's say.Biomedical signals such as ECG, EG kind of data And you are trying to analyze them in short time windows to find out if there are anomalies in the data.What window would you use and why?",50,1,question,TRUE
when you you are using let's say a cosine window.Would you consider taking overlapping time slots or would you take non overlapping time slots?,24,1,question,TRUE
Now can you? Can you tell me what is one example use case for a spectrogram?,16,1,question,TRUE
"Do You know what is what is called as a universal approximation theorem, mostly used in deep learning?",17,2,question,TRUE
What is it?,3,1,question,TRUE
what is a perceptron?,4,1,question,TRUE
What is it?,3,1,question,TRUE
what are the limitations of perceptron? What kind of classification can it perform?,13,2,question,TRUE
You know what is a bag of word?,8,1,question,TRUE
What is it?,3,1,question,TRUE
What do you use? Bag of words?,7,1,question,TRUE
You know what are bigrams?,5,1,question,TRUE
What are they?,3,1,question,TRUE
you have a sentence Which consists of nine words.How many bigrams can it generate?,14,1,question,TRUE
In object oriented programming we have a Concept called function overloading or method overloading.What does it do?,17,0,question,TRUE
How does it help us?,5,1,question,TRUE
Have you used anytime overloaded functions?,6,0,question,TRUE
What about current semester? Let's say in speech processing? Are you using overloaded function?,14,1,question,TRUE
 how do you read the audio file in Python?,9,1,question,TRUE
now do you see overloaded functions everywhere?,7,0,question,TRUE
What is a mel channel?,5,1,question,TRUE
how does it help us?,5,1,question,TRUE
you know what is short time Fourier transform?,8,1,question,TRUE
What is it?,3,1,question,TRUE
what about wavlets?,3,1,question,TRUE
What are wavelets?,3,1,question,TRUE
 you employ a Fourier transform on it. What? What does the output look like?,14,1,question,TRUE
By Speech recognition.,3,0,answer,TRUE
and with also text recognition.,5,0,answer,TRUE
"We can, like we can convert that speech into text like. After. Various tools and libraries to Convert that and analyze the sentiment ",23,0,answer,TRUE
"Yes, Sir.",2,0,answer,TRUE
I will preprocess the text and remove the noise.,9,0,answer,TRUE
"I was saying, like in speech speech. And remove it irrelevant information in text that we have we have received.",20,0,answer,TRUE
" in this On text Punctuations, lower case, lower casing, etcetera, we can remove remove stopwords. ",15,0,answer,TRUE
stop words like in sentence so I can say like. Not Which do not carry like a basic significant meaning.,20,1,answer,TRUE
 I have no idea,4,0,answer,TRUE
"Yes, Sir.",2,0,answer,TRUE
 Then we will apply like sentiment analysis to for the prepared preprocess text.,13,0,answer,TRUE
there are some different machine learning approaches and deep learning approaches that we can,14,0,answer,TRUE
Naive based RNN etc. SVM also we can,8,0,answer,TRUE
yes sir,2,0,answer,TRUE
No idea sir,3,0,answer,TRUE
"While doing convolutional, neutral it Sir after that",8,0,answer,TRUE
yes,1,0,answer,TRUE
Text we can extract the text from illness,8,0,answer,TRUE
"The difference between convolution and neural network are, general neural network It is the text text to image calibration.",19,0,answer,TRUE
"It  typically take the input data from the,from the  vector",10,0,answer,TRUE
it take the input from the from the vector general neural network sir convolution CN used for the image image,20,0,answer,TRUE
field like data. CNN used it for the best accuracy and improve the accuracy.,14,0,answer,TRUE
"SVM,Decision tree",2,0,answer,TRUE
Both,1,0,answer,TRUE
"because actually actually SVM is an kernel function.So, because actually actually SVM is an kernel function.",16,0,answer,TRUE
"It's an cost cost function, mainly it will. It's a type of machine learning model.It minimize and loss function during the training process sir. It mainly minimize the training process ",30,0,answer,TRUE
Means the loss function,4,0,answer,TRUE
"I don't know, Sir",4,0,answer,TRUE
I'll optimize on the loss functions.,6,0,answer,TRUE
 because.It will predict the values of the model and the actual ground truth values.In the training data.,17,0,answer,TRUE
It will minimize the error,5,0,answer,TRUE
relation between the error means actually the loss function is the model that actually ground the truth values.In this error function it will,23,0,answer,TRUE
"For large datas like images and stuff, convolution is used.",10,0,answer,TRUE
"Basically it like,Like images are two or three like a 2D data it it is a very huge data which can't be handled by other neural network. So convolution can handle a Larger Data and it can also give a proper analysis for the data. That's why it is chosen according to.",52,2,answer,TRUE
"Bias is like An activation function you can say .If the In a perceptron model you have two things like activation function and aggregation function. After aggregating the inputs, if the output is above this level, that is the threshold of the bias, then only it is considered.To as a if it is above, then it is considered as the output one, or if It is below 0 something like that.",71,0,answer,TRUE
"Short time. Yes, Sir",4,0,answer,TRUE
"So basically, short time Fourier transform is basically use.in Windowing in fourier a signal and doing fourier to each and every windowing segment that we have updated. So by doing this there will be no loss of data because we are considering each window and we are trying to do and it. It is basically like instead of considering whole signal the computational time and analysis. Like the time complexity will be more so taking one window, the accuracy and analysis is per like almost near to perfection and also the computational time decreases.And it's faster.",96,0,answer,TRUE
" whatever I believe is like when you take a whole signal and try to process it, it might give errors and take time.But when you take windowing and try to do, I feel little take less time and process it properly.",41,2,answer,TRUE
Speech signal with lots and lots of noise.And that might didn't make any difference,14,0,answer,TRUE
We can use filters,4,0,answer,TRUE
low pass or high pass filter,6,0,answer,TRUE
"Like based on the type of noise, we can use either low pass or high pass filter",17,0,answer,TRUE
Low pass can be like high frequency noises like.,9,0,answer,TRUE
Can be any background noise,5,0,answer,TRUE
 it can be any like background noise or anything in the.,11,0,answer,TRUE
Like high frequency noise can be any type of background noise in the environment.,14,0,answer,TRUE
Like any construction happening around,5,0,answer,TRUE
that's kind of.,3,0,answer,TRUE
"So basically, uh, in Java you use functions with the given set of parameters to make it work.So function overloading is basically when you have two functions of the same name. But you have a different number of parameters in it, so depending on which number of parameters you use, it overrides the other function and it gives.You the output",60,2,answer,TRUE
A basic example which I can give right now is suppose you know you're in your home and there's a washing machine going on. So the low rumbling of the washing machine itself can be considered as a low frequency sound.,41,1,answer,TRUE
" I do not know what what's called destroys the objects, but I do know that the objects will be destroyed once.The code is over.",24,1,answer,TRUE
"Yes, Sir.",2,0,answer,TRUE
"And basics in constructor basically utilizes a small instance in the memory itself to define a function to basically work a function and destructor is you could say opposite of it, where after the constructor has finished doing its function it will destroy it.",44,1,answer,TRUE
"the mean is technically like the average of whatever input you give it, and the median is, is the most repeated, not repeated.That is more.So suppose I give you a bunch of numbers. Suppose you take 123 and then four fives and then 5. So the median here would be a number that is close to the bunch of forces because they're repeated more. Basically, it's like, uh, the place where the frequency of numbers is.the highest.",80,1,answer,TRUE
"Mode is the number which is the highest, Sir, but median is the area where the numbers are mostly gathered. Like suppose there are multiple threes and then multiple fours multiple files. The meeting could be somewhere near there because it is the data is distributed more in that area.",50,2,answer,TRUE
"The median is not what I explained. That was mode. As you're right, the median is the middle most number in the given given data. When it's sorted, that is.",30,2,answer,TRUE
"Yes, Sir.",2,0,answer,TRUE
"Yes, Sir.",2,0,answer,TRUE
 it's an algorithm that is used to classify the data,10,0,answer,TRUE
It can be Image data or text data or text data. We use text engine to classify the text data or it can be numericals.,25,0,answer,TRUE
Advantages.It has feature extraction like. It can extract relevant features from the raw data set.,15,0,answer,TRUE
Activation activation functions helps us to helps us in the classification problems.,12,0,answer,TRUE
Not sure how they help,5,1,answer,TRUE
"Yes, we can use.",4,0,answer,TRUE
"Like for images classification and spectrograms, we can use them",10,0,answer,TRUE
"Yes, Sir.",2,0,answer,TRUE
"Like what is the definition, Sir",6,1,answer,TRUE
 It is a technique. It is a technique which will increase the size of training data set by the like if there is a data will generally split into training and testing. Augmentation is nothing but we'll increase the size of training data set.,44,1,answer,TRUE
Like flipping horizontal and vertical flipping and image rotation scaling.By using some functions.,13,0,answer,TRUE
Other techniques for augmentation,4,0,answer,TRUE
"So if there is a large difference between some values, like if we are taking binary data, if number of ones are very greater than number of zeros like there are 10,000 number of ones and only five to six number of zeros, then we will do overfitting.",48,0,answer,TRUE
Not I'm not having any  idea,6,0,answer,TRUE
"stemming and lemmatization.Stemming is nothing, but they're both used in like natural language processing only Sir. stemming involves in remaining prefixes and suffixes like if there are. If there is a word like cars, it will remove s. And limitation involves in reduce the number, reduce the words to its canonical form.",52,0,answer,TRUE
"For example, there are words like AM, is, are.They will be converted into B.",14,0,answer,TRUE
Like it's a base word.,5,0,answer,TRUE
"Word and the token. If there is a word For example, if the there is like if there is sentence I am charmikar then tokens are like I, am and charminar. If there is a word Charmikar tokens are C,H,A,M,I,K,A,R like classification into sub parts.",45,0,answer,TRUE
Smaller parts are token,4,0,answer,TRUE
 I didn't get it.,4,0,answer,TRUE
"like encoding, it transforms the data into different formats or like for efficient processing and all it transforms the data into a different format.",24,0,answer,TRUE
Like there are few techniques like MFCC. It converts audio signal into feature vectors. Basically these vectors they represent these speech signal characteristics.,23,0,answer,TRUE
That's all,2,0,answer,TRUE
"So it is like it can be used for data compression or for transmission as well. No Sir. Even like for storing, for storing your data in like in a compressed or in a compressed format. We use this encoding.Like it is kind of crucial for convert. So basically what it does, it converts these raw audio signals into feature representations. So like.For synthesis and and we use MFCC as well to convert this audio signals into features.",78,1,answer,TRUE
Not I'm not having any  idea,6,0,answer,TRUE
speech recognition system ,3,0,answer,TRUE
it is human hearing like.,5,0,answer,TRUE
yes yes sir,3,0,answer,TRUE
"To have very efficient recognition of speech Like the the basic stuff,No Sir. Like first we need to have like a good pre processing and then the feature extraction should be done and then the model also should be trained enough so to give us an good amount of. Accuracy.Is there like, yeah, by including all this, I think, like even in noisy environments we get the proper Or is it the speech signals",74,0,answer,TRUE
So we can use like noise reduction techniques. No . Since you told it's a noisy environment. Like suppose in a battlefield like suppose so there's gonna be a lot of noisy around. So we can use any noise reduction techniques like spectral subtraction. That is one thing that we can do. So basically we need to enhance the signal to noise ratio.To improve the preprocessing method.,67,0,answer,TRUE
Not sure about that. We can use like the basic techniques also.,12,0,answer,TRUE
Spectral subtraction,2,0,answer,TRUE
"So it's a common it's like a basically like a it's a noise reduction techniques used for speech processing the app. Yeah. For our thing it can be used for our applications. Like basically what it does is it.It subtracts the estimate of noise spectrum, Sir. from like if it's too noisy. You'd wanna subtract the the estimate of noise. So whatever it's, it's gonna reduce the things it's gonna it. Basically, it enhances the signal to noise ratio. So the model can understand.And like which part of the noise and which can be used for a signal thing like so that we can hear properly.",106,3,answer,TRUE
Yes. I know convolution.,4,0,answer,TRUE
"convolution is nothing, but it's a multiplication of two signals within a filter with a filter. Windowing sir Like So basically there are Sir, it's it's multiplication of two signals with one signal with that another filter signal",38,0,answer,TRUE
it is a picthes like a pitch in voice based on the human hearings.,14,0,answer,TRUE
No sir,2,0,answer,TRUE
"There are dimensional convolutions are like 1D,2D and all. 1D convolution 2D convolution like 1D means it is a time series Sir. Basically it says text data convolution.So yes, Sir, basically convolutions are different. Types are like 1D,2D and 3D like in 3D means you are convoluting as images, images and 1D means you are convoluting text data and all features.So that's so.",63,0,answer,TRUE
"Particularly, we use in speech recognition and speech recognition for speaker recognition and music analysis.",15,0,answer,TRUE
Mean and median..The name means nothing but sum of all values by total number of values.And median means it is.The middle number in that entire series,26,0,answer,TRUE
mean is used to find basically to find the average average data Sir.And the median is used to find the middle elements. In the data,25,0,answer,TRUE
No idea. So basically in statistics they are used in calculating this.this accuracy mean absolute error mean square error,19,0,answer,TRUE
No idea,2,0,answer,TRUE
Service sequential like LSTM and RNN.,6,0,answer,TRUE
long short term memory,4,0,answer,TRUE
"basically it sequence. It isn't sequential data, it it learns from sequential data. Sir, basically like a time series data and all it is what it does Sir.It takes information from the previous cells to predict this current cell, Sir.So it also addresses the vanishing gradients as well, which is lacking in RNA.",53,2,answer,TRUE
" the vanishing gradients are when we are back propagating, so the weights in that neural network in the neurons decreases So which allows the neurons to vanish. That information in that neurons.Basically, it occurs during back propagation, Sir, from the result to again from start result to starting.",48,2,answer,TRUE
", basically it happens based on the type of activation functions we are using in itself. Suppose we are using a sigmoid function. It has an activation. This is a vanishing gradient, whereas in Relu vanishing gradients are addressed in that",41,0,answer,TRUE
in relu.what it does was it taken all the negative values were taken to zero and all the positive values are taken as it is and they took maximum of that zero to positive values..In between zero and maximum value.,40,0,answer,TRUE
I don't know much,4,0,answer,TRUE
mean is used to calculate the average Like or else in medium we can we use.I I don't know.,19,0,answer,TRUE
"correlation measures the strength and direction of the relationship between two variables and covariance. Covariance measures the extent to which two variables change together. Covariance can be positive, negative or zero, whereas the correlation changes from -1 to one.",39,1,answer,TRUE
I'm not sure,3,0,answer,TRUE
Probabilistic in nature..Navies,3,0,answer,TRUE
"Firstly, collect a data set.Like for example, my mother is tamil. So I'll be collecting speeches like tamil has many variants. Variants is like, you know for which maybe for example if I take all the thirukkurals in Tamil, I all this has the data set. I'll collect the data set and I might extract features because thirukkurals uses old tamil not new one.Then I might select the proper model, like mostly deep learning",74,1,answer,TRUE
" windowing,I think windowing is commonly used in signal processing, particularly in the fields of.Signal processing and audio processing Like in FFT we we use. in FFT algorithm.Analysis of signal using FFT.",31,0,answer,TRUE
Different window functions are Rectangular window .Sir I don't know exactly.Hamming window rectangular window,14,0,answer,TRUE
no idea,2,0,answer,TRUE
 i don't know ,3,0,answer,TRUE
"MFCC sir Some mel frequency,Mel frequency spectral coefficients.Not spectral,cepstral",9,0,answer,TRUE
no idea,2,0,answer,TRUE
yes sir,2,0,answer,TRUE
Determinant is calculated only for square matrix.It is not calculated for the rectangular matrix,14,0,answer,TRUE
The determinant  one,3,0,answer,TRUE
"ve of size of the identity matrix, suppose it is 2 by 2, three by three, 5 by 5 everywhere it is one.",23,0,answer,TRUE
the determinant is always one for any N by N matrix.,11,0,answer,TRUE
One of the column is 0 Sir,12,0,answer,TRUE
Zero.,1,0,answer,TRUE
"Like for one column, if it is 0 if we found that it, it will always 0.One complete oneSir. Like if you take that column zero into opposite ones.",29,0,answer,TRUE
 so like if we take for non zero values like if we calculate for non zero values also it will become zero in opposite way.,25,0,answer,TRUE
"The is the complete column is 0, then det it will be 0.",13,0,answer,TRUE
"One second, Sir I'm not sure, Sir, but if it's a M cross N matrix, I think maximum rank will be M.i am not sure",25,0,answer,TRUE
I think rank is the number of linearly independent column vectors in a matrix.,14,0,answer,TRUE
"I don't remember, Sir.",4,0,answer,TRUE
"Mean is the average of the entire data, so it's the sum of the total data points by the number of data points.",23,0,answer,TRUE
"Medium is the central point of the entire data, so it represents The data from either sides and gives you a little bitOf idea about it.",26,0,answer,TRUE
"I'm not sure, Sir.",4,0,answer,TRUE
"Mean is used when you want like estimate or the average of the entire data.But when you want something to represent the data by, you can use medium.",28,2,answer,TRUE
"I know of three window functions, one is the cosine or hamming window the Gaussian or hanning window and the rectangular window.",22,0,answer,TRUE
"I would use the Hamming window of the cosign window because it since we're dealing with biomedical data, it's very essential that we don't lose any of the information in the spectrum and windows like rectangular or Gaussian window. They tend to have spectral leakage, so it would be best to use cosine window and also we know that the values in cosine window don't exactly start with zero or end with zero which again prevents spectral leakage. So yes, I will choose that.",84,1,answer,TRUE
I would take overlapping time slots because it would ensure continuity in the data processing or speech processing.,18,0,answer,TRUE
"Use case for spectrogram could be Audio fingerprinting or like you said, ECG analysis.",14,0,answer,TRUE
"Yes, I have heard of it",6,0,answer,TRUE
"Not sure, I cannot recall.",5,0,answer,TRUE
Yes.,1,0,answer,TRUE
A perceptron is part of a neuron which takes a input function and gives you the output function depending on the weights of Information being processed.,26,1,answer,TRUE
"Perceptron can perform binary as well as multiclass classification, but it works better on binary.. Because the number of classes to classify from is the lower and the processing time is also lesser for that",35,0,answer,TRUE
Yes.,1,0,answer,TRUE
It it displays it's a form of matrix that shows you the count of each word in a document. So it's a document term matrix.,25,0,answer,TRUE
"When you want to understand the overall frequency, not frequency, the count of the word exact term in one or multi document corpus. Then you use bag of words, but it's better to use TFIDF because it takes into consideration the order of the words and Semantic understanding as well.",50,1,answer,TRUE
"Yes, Sir.",2,0,answer,TRUE
"They are a part of a probabilistic model where you take if there are. If you want to analyze N words, then you take the n -1 previous words of it. So it's kind of like a Markov chain, but you consider N -1 terms before the word itself.",49,1,answer,TRUE
It can generate 9. I think I'm not sure.,9,0,answer,TRUE
"It's it's basically when you have multiple methods or functions with different parameters as their input and every time you are calling, let's say calling a function, let's call it chopped brackets and let's say the functions and. I mean the input variables inside it are of the form. Int, int and string. So when you're calling this particular function And let's say this another function with chop and instead of int, int, string, it's int, float, int. So whenever you're calling a particular function so there are chances that I think I'm confusing with polymorphism also. Yeah. So you're calling the particular function with the variables and automatically the function is called  So you can have two functions with the same names with different input variables. That's function overloading.",130,2,answer,TRUE
"Function overloading. OK so Maybe we should take a scenario where Maybe it is a particular function where the process is the same, so it analyzes the same or it gives you the same calculated output but the input variables might instead of be integers. It might be float variables, sometimes other times it might be int and there's an ambiguity in your program where you don't know what your input variables are going to be So in such a scenario we can create A method overloading with functions Different inputs but solves the same process.",96,4,answer,TRUE
Yes. So when I worked for my object oriented project in seconds and no first semester I did use yes.,20,1,answer,TRUE
" not in the project so far, but in For this lab, work for plotting for the purpose of plotting, I did use function overloading, but it was yeah, for Python. I did use for plotting of spectrograms and plotting of normal waveforms.",42,0,answer,TRUE
There's the package called librosa.So you with help of lebrosa you can read your file.,15,0,answer,TRUE
"Yes, so technically most functions are overloaded functions.",8,0,answer,TRUE
"Mel, frequency is it came into existence when we realized how the human ear processes or perceives sound differently. So the higher the frequency, the lesser our perception is on the sound. So based on that there was the mel channel created to convert any normal frequency onto the Mel Channel which works logarithmically.",54,3,answer,TRUE
" it has this process, the speech better because for a machine when it's processing speech, it can identify the difference in frequencies very clearly like the higher even between 1000 Hertz and 1100 Hertz, it can identify the difference a machine can, but human ears can Not we identify smaller frequencies better and the higher the frequency gets, the more ambiguous it sounds. It sounds like the same frequency to us. So what happens is when you're processing speech, this quality is important because speech basically comes from humans, right? So the way humans perceive the same.So it is important for us to process and get the features better. So that is why there is better.",116,4,answer,TRUE
"Yes, Sir.",2,0,answer,TRUE
"A short time Fourier transform of the understanding. The reason it came behind the reason it came was because in a frequency of a speech.There, there's no constant frequency or constant intensity is always a varying range of frequencies when you're speaking. So when you're going to do a forget transfer of the whole signal, you lose out on many temporal characteristics of the speech. which basically reduces the accuracy of your model later on. So instead of doing a Fourier transform on the whole signal, we divide it into parts or the windows. So that's how the word short time for your transform came. So it takes short short windows of the same frequency and then transforms it onto the spectral domain.",123,4,answer,TRUE
"I've heard the term, but I Don't know what they are.",11,1,answer,TRUE
Not getting through. ,3,0,answer,TRUE
Conjugate symmetry.,2,0,answer,TRUE
we will get a complex value,6,0,answer,TRUE
I think many ,3,0,answer,TRUE
hundred,1,0,answer,TRUE
it is limited to time resolution or it may not capture the non stationary speech and speech characters. ,18,0,answer,TRUE
it changed the signal changes over time. ,7,0,answer,TRUE
mean or variance.,3,0,answer,TRUE
Independent.,1,0,answer,TRUE
"Two vectors can be can be very important. If one vectors cannot be expressed as a scalar of another vector, then there can be. ",24,0,answer,TRUE
For writing 1 vector in the form multiplying the scalar so that we can get the another vector. ,18,0,answer,TRUE
The number of independent rows or columns. ,7,0,answer,TRUE
N ,1,0,answer,TRUE
At least one is there,5,0,answer,TRUE
Minimum one,2,0,answer,TRUE
yes..sir,1,0,answer,TRUE
Oh no sir..,3,0,answer,TRUE
For N order matrix to have N Independent 0 columns are rows,12,0,answer,TRUE
one..because we have one row with zero's and all the rows are same and all the columns are same,19,0,answer,TRUE
Because there was a dependence all of yours. ,8,0,answer,TRUE
"For example, if the 1st row is the all zeros and 2nd row also all zeros. If you multiply with another scale of then. 2nd row will come first so. Both are independent. If we do for all the rows, then all rows will lose 0 zeros on them with 0. ",51,0,answer,TRUE
NLP. ,1,0,answer,TRUE
"OK, Sir. ",2,0,answer,TRUE
"In NLP projects.Similarity measure can be used. Let's say there's a document with a particular set of words and another document with a particular set of words, and you want to take code words that are similar and very common. So in this place and we want to give more weightage to the words that are very unique. so in this place we can use a similarity measure between the two documents and. 
Find out if the documents are very similar and if they're very similar and we want to take our very common things between the two documents, then we can use the similarity measures between these two documents.   very common. So in this place and we want to give more weightage to the words that are very unique. so in this place we can use a similarity measure between the two documents and. ",145,0,answer,TRUE
" one similarity measure that I have worked with, well, I would say TFIDF which is term frequency and inverse document frequency. So it takes the document frequency of a particular term within one particular document and the term frequency of the same word in another document and it sees and it compares what is the frequency of the word. And of the frequency of the word in both the documents are relatively higher than its given weightage of 0. Using the formulas of TF and IDF individually and combining them by multiplying the formulas or the output of TF and IDF finally taking out the words which are very common between the two documents and applying the similarity. ",118,3,answer,TRUE
"I don't know exactly, Sir. Like.",6,0,answer,TRUE
"I I don't recall. Ohh, cosine should be one of them. Cosine measures was one of the similarity measures that we have. Done, I think Technically, almost a word and a token are almost same, but word token is formed when a particular sentence is broken down into individual words. Is what I would say.",55,2,answer,TRUE
"No, Sir. Like token, there's a flexibility with tokens. We can actually group few words and call it as one particular token if it is necessary for a particular project or a particular approach in a particular project. So if I want to, if there's a sentence I am sukant and I'm studying in Amrita University, then we can break down the tokens into each individual word. That is I am sukan or the token and each of these individual words can be a particular token or we can also tokenize saying that we want a token to be I am sukant as one token then studying a numerator as one token and In Amrita University, as another token then, you can also group these words and make it as a particular token as well, Sir",136,0,answer,TRUE
I don't recall so. ,4,0,answer,TRUE
So let's say you have a log document maybe 20 ,10,0,answer,TRUE
"OK, Sir. ",2,0,answer,TRUE
"OK, Sir. ",2,0,answer,TRUE
"Yes, Sir. ",2,0,answer,TRUE
"OK, Sir. ",2,0,answer,TRUE
"first, even though there are like, uh, like 10,000 words or even though there's a lot of text content in this, uh, 20 pages that you mentioned, it will have to go under the tokenization and a lot of preprocessing so that they can break down the words and give the words a particular weightage. So if it's a positive word, then a particular weight should be given. And if it's a negative word a particular weight should be given and along with all the text data if there is. If there is a word that is capitalized, then and if it's a negative word, then a different type of wage should be and with that, and if it's a +1 and it is capitalized, so even the case of the word will also play a role in identifying the sentiment analysis. If it's a negative text or a positive text As for the whole document. So tokenization is one of them, and along with that. Sentiment analysis can be done by.Giving the weightages correct. ",175,0,answer,TRUE
"OK, Sir. ",2,0,answer,TRUE
 I don't know how well the Java Java programming language has developed in terms of making models and how efficient it is for the deep learning or NLP processing models. But again I think Java would be the alternate alternate language which I would choose after Python.For doing this. ,49,3,answer,TRUE
Why..I think if we can code in Python then translating that with the coding skills towards Java should not be very difficult and Comparatively difficult to any other languages is what I feel. So maybe Java will be the better option over here. ,43,1,answer,TRUE
" it is, Sir, it is. It is object oriented language, Sir. ",11,0,answer,TRUE
"Fine, Sir",2,0,answer,TRUE
" Like when Java is called an object oriented language because it consists of four properties.One mainly because it encapsulates code in classes.And you can you can use those. Use that code again so it helps in reusability of code rather than repeating the same section of code again and again.Also, there are two other things like there's method overriding and method.Method overriding and method overloading where you can either change the function of the method at runtime or at compile time. You can for the same for one method you can of one for one name of the method. You can add. You can have different functionalities based on the number of parameters given.So that is what I understood from. ",120,3,answer,TRUE
"So if I write a function in a class, say animal, I can write.OK, I can write eat when there is when there are two parameters that is time and.I can write when there's one parameter that is only when food is available or I can write 2 parameters when there's food and a given time so In the second case, the animal will be ready when the food comes or during that time or whenever it sees food. It can eat food for the first case. ",87,6,answer,TRUE
"I don't think there would be any limitations because it can perform procedural like interpreted kind of tasks as well.Maybe you can't jump into code, right? You can't jump into code writing without defining a class and a main method. ",40,0,answer,TRUE
"So C is because you can interact with the. You can understand the machine.Like you can interact with the machine codes better because they're pointers and pointers, so you understand memory allocation and all of those, like a little more detail. Whereas in Java you don't have pointers, so you can't understand how exactly memory is located, or you can't access them with. ",63,1,answer,TRUE
For system level interaction again. ,5,0,answer,TRUE
"So we can interact, but it's more of an understanding to build our. It's probably because we want to build our understanding and if there is any other reason, I'm not very Sure of it. ",35,0,answer,TRUE
"Like a straightforward answer would be when I want to know the center of the data and then I don't need how?I don't need the average of the data, but I want the",33,1,answer,TRUE
Median is easier. ,3,0,answer,TRUE
"Because I just have to find. OK, I'll have if the data is sorted then Median is easier because I just have To find the center element.But if it is not sorted mean, will it be easier because I have to I don't have to sort it which will take a lot of time compared to adding and taking the average. ",61,1,answer,TRUE
So then mean would be easier. ,6,0,answer,TRUE
"Because sorting takes N log N time in the least case, but taking a sum takes off end time, which is faster than taking a sum. I mean, which is faster than sorting the array. ",35,2,answer,TRUE
"Sir, it is a basic technique used in NLP natural language processing. It represents text data, Sir, by counting frequency of works. In a document. ",25,0,answer,TRUE
Yes sir,2,0,answer,TRUE
Don't know sir,3,0,answer,TRUE
"So DfT uses complex and assets as basic functions. In cosine functions, results are real valued coefficients. ",17,0,answer,TRUE
"Applications in yes, Sir. ",4,0,answer,TRUE
"maybe. No, it's it's a DfT, mainly used in frequency analysis, where comes to cosine. Comes to cosine transform. It is mainly used for compressing images. ",26,1,answer,TRUE
Yes. ,1,0,answer,TRUE
"OK, Sir. Ohh OK. ",4,0,answer,TRUE
 Don't know about this? ,4,0,answer,TRUE
"Yes, Sir. ",2,0,answer,TRUE
"Yes, Sir. ",2,0,answer,TRUE
"Sir, cardinality, we said so, yes. So cardinality refers to number of elements in a set, Sir. ",17,0,answer,TRUE
The cardinality of a Union B. And a intersection B is same. So what do you tell about these two? Sets A&B. ,22,1,answer,TRUE
"So they are, if they are not common Surrey intersection, if they are not having any common intersection elements, so they are not common. ",24,0,answer,TRUE
"So dot product cross product we do for the matrix Sir, but dot product we do for the vectors. ",19,0,answer,TRUE
"So dot prod we will do especially for the each vector by taking one vector from one matrix, another from another matrix. ",22,0,answer,TRUE
Yes. And also we can do so. ,7,0,answer,TRUE
So. Both should be same dimensionals. ,6,0,answer,TRUE
"Convolution. We will have some steps, Sir, like folding, scaling and also shifting to the right words and multiplication additions. ",20,0,answer,TRUE
"When there is a signal and the request signal if we if we need something signal to be outputted, we take two signals. ",23,1,answer,TRUE
"For image processing, we especially do for image processing and signal processing. ",12,0,answer,TRUE
Yeah. OK. ,2,0,answer,TRUE
Example of convolution..?,3,0,answer,TRUE
"So we can use. We can use speech. I mean we can use the convolution speech processing, Sir, especially in the domain of. For filtering purpose we can use. ",29,0,answer,TRUE
Or getting future extraction. ,4,0,answer,TRUE
Mel frequency. Convolution Mel Mel frequency cepstral coefficients or MFCC stands for,12,0,answer,TRUE
"Sir, they are especially for boosting the frequency, Sir. If suppose the human can't hear the voice equally, so we can boost the we mean, if the voice is slow, we can boost using. The mail frequency, Sir. ",38,0,answer,TRUE
"Sir, by using high filters and also if high filter is used to reduce the low filter and increase it to high I mean high frequency Sir it reduces the low frequency. ",32,0,answer,TRUE
Not MFC but. ,3,0,answer,TRUE
So I don't know exactly about this. ,7,0,answer,TRUE
"The spectrogram is a representation of frequencies, a spectral of frequencies. ",11,0,answer,TRUE
It's like a graph. ,4,0,answer,TRUE
Use it to represent the frequency so that we can see how much loudness the voice is and also the amplitude we can see. ,24,1,answer,TRUE
Like using Fourier transform. Or we will be using windowing and then preprocessing. ,13,0,answer,TRUE
Feature extraction or something? ,4,0,answer,TRUE
Like getting the amplitude or the intensity from the spectrogram. ,10,0,answer,TRUE
"Like all the multiple frequency components, we will be plotting with respect to time. ",14,0,answer,TRUE
Based on amplitude of the speech signal. ,7,0,answer,TRUE
"Like initially, we'll be plotting the original speech signal and then based on the amplitude. Like, we'll get to know whether the frequency of the speech signal is high at some particular places, or we can even do windowing function where we'll be multiplying two different signals, like one will be the original speech signal and the other one will be a window signal like rectangle or sinusoidal type of signals. And then we'll be getting the output",78,1,answer,TRUE
"Amplitude.. Like higher, the amplitude is higher the frequency. Maximum displacement will be the frequency of the speed signal. ",19,0,answer,TRUE
Like at each time interval it differs. ,7,0,answer,TRUE
