audio no,person no,speaker 1,speaker 2,question,answer
,,Are you sure?,Sir the determinant is always one for any N by N matrix.,Are you sure?,the determinant is always one for any N by N matrix.
,,You have a square matrix And one of the Columns is 0.What would be the determinant of this matrix?,"One of the column is 0 Sir, can you repeat the question?",You have a square matrix And one of the Columns is 0.What would be the determinant of this matrix?,"One of the column is 0 Sir, can you repeat the question?"
,,Did you hear my question or you didn't hear my question?,"Sir, I didn't understand.",,
,,"You didn't understand.OK, you have a square matrix with one column zero.What is the determinant of this matrix?",Zero.,you have a square matrix with one column zero.What is the determinant of this matrix?,Zero.
,,Why?,"Like for one column, if it is 0 if we found that it, it will always 0.One complete oneSir. Like if you take that column zero into opposite ones.",Why?,"Like for one column, if it is 0 if we found that it, it will always 0.One complete oneSir. Like if you take that column zero into opposite ones."
,,"Yeah, but why you have to take zero into something you can take determinate with the non zero values also, right?",So so like if we take for non zero values like if we calculate for non zero values also it will become zero in opposite way.,"why you have to take zero into something you can take determinate with the non zero values also, right?", so like if we take for non zero values like if we calculate for non zero values also it will become zero in opposite way.
,,Why? That is what I'm asking. Why?,"The is the complete column is 0, then det it will be 0.",Why? That is what I'm asking. Why?,"The is the complete column is 0, then det it will be 0."
,,OK.Thank you very much.,,,
21,1,So Priyanka.How are you today?,"I'm fine, Sir.",,
,,Very good.feeling relaxed.,"Yeah, kind of the some work at home. So need to get to that.",,
,,Happy that midterm is exam exam is over.,"Yeah, definitely.",,
,,ok fine,,,
,,"You have done a lot of linear algebra, matrix multiplication, matrix subtraction, matrix addition, matrix substitution, diagonalization.Converting matrices to their row echelon form and things of that nature, right?",yes sir,,
,,Can you tell me for a M cross N matrix where M rows and N columns are there What is the maximum rank of this matrix?,"One second, Sir I'm not sure, Sir, but if it's a M cross N matrix, I think maximum rank will be M.i am not sure",Can you tell me for a M cross N matrix where M rows and N columns are there What is the maximum rank of this matrix?,"One second, Sir I'm not sure, Sir, but if it's a M cross N matrix, I think maximum rank will be M.i am not sure"
,,Can you tell me what is rank of a matrix?,,Can you tell me what is rank of a matrix?,
,,"OK, what is rank of a matrix?",I think rank is the number of linearly independent column vectors in a matrix., what is rank of a matrix?,I think rank is the number of linearly independent column vectors in a matrix.
,,"Yeah, that's absolutely correct. That is very right. How do you find out how? What is the rank of a matrix?","I don't remember, Sir.",How do you find out how? What is the rank of a matrix?,"I don't remember, Sir."
,,No problem.,,,
,,"You know the central tendencies called mean, median and mode.",Yes sir,,
,,What is mean?,"Mean is the average of the entire data, so it's the sum of the total data points by the number of data points.",What is mean?,"Mean is the average of the entire data, so it's the sum of the total data points by the number of data points."
,,And what is median?,"Medium is the central point of the entire data, so it represents The data from either sides and gives you a little bitOf idea about it.",what is median?,"Medium is the central point of the entire data, so it represents The data from either sides and gives you a little bitOf idea about it."
,,"So let's say I Have three data points. One is 2,3 and 10.So is the median 3 or is the median 6?","2,3 and 10, so the. Median will be three because there are odd number of values, so the middle number will be the median.","2,3 and 10, so the. Median will be three because there are odd number of values, so the middle number will be the median.",
,,"Are you sure? Because would it not be 10 + 2 / 2 which is equal to six, so that is the middle value in the range of values Which are appearing","I'm not sure, Sir.","Are you sure? Because would it not be 10 + 2 / 2 which is equal to six, so that is the middle value in the range of values Which are appearing","I'm not sure, Sir."
,,No problem.What you answered is right.,,,
,,Now tell me when should we use mean and when should we use median? Why are there two central tendencies dealing with numbers?,"Mean is used when you want like estimate or the average of the entire data.But when you want something to represent the data by, you can use medium.", when should we use mean and when should we use median? Why are there two central tendencies dealing with numbers?,"Mean is used when you want like estimate or the average of the entire data.But when you want something to represent the data by, you can use medium."
,,Very good.,,,
,,"You know what is windowing for.A signal processing, right?","Yes, Sir.",,
,,"what are the Different kinds of window functions, you know Which can be used.","I know of three window functions, one is the cosine or hamming window the Gaussian or hanning window and the rectangular window.","what are the Different kinds of window functions, you know Which can be used.","I know of three window functions, one is the cosine or hamming window the Gaussian or hanning window and the rectangular window."
,,"OK, suppose you are. You are a ML engineer employed in a company which is dealing with let's say.Biomedical signals such as ECG, EG kind of data And you are trying to analyze them in short time windows to find out if there are anomalies in the data.What window would you use and why?","I would use the Hamming window of the cosign window because it since we're dealing with biomedical data, it's very essential that we don't lose any of the information in the spectrum and windows like rectangular or Gaussian window. They tend to have spectral leakage, so it would be best to use cosine window and also we know that the values in cosine window don't exactly start with zero or end with zero which again prevents spectral leakage. So yes, I will choose that.","You are a ML engineer employed in a company which is dealing with let's say.Biomedical signals such as ECG, EG kind of data And you are trying to analyze them in short time windows to find out if there are anomalies in the data.What window would you use and why?","I would use the Hamming window of the cosign window because it since we're dealing with biomedical data, it's very essential that we don't lose any of the information in the spectrum and windows like rectangular or Gaussian window. They tend to have spectral leakage, so it would be best to use cosine window and also we know that the values in cosine window don't exactly start with zero or end with zero which again prevents spectral leakage. So yes, I will choose that."
,,Very good.,,,
,,Now when you you are using let's say a cosine window.Would you consider taking overlapping time slots or would you take non overlapping time slots?,I would take overlapping time slots because it would ensure continuity in the data processing or speech processing.,when you you are using let's say a cosine window.Would you consider taking overlapping time slots or would you take non overlapping time slots?,I would take overlapping time slots because it would ensure continuity in the data processing or speech processing.
,,Very good.,,,
,,Now can you? Can you tell me what is one example use case for a spectrogram?,"Use case for spectrogram could be Audio fingerprinting or like you said, ECG analysis.",Now can you? Can you tell me what is one example use case for a spectrogram?,"Use case for spectrogram could be Audio fingerprinting or like you said, ECG analysis."
,,Very good.,,,
,,"You know what is what is called as a universal approximation theorem, mostly used in deep learning.","Yes, I have heard of it, Sir.","You know what is what is called as a universal approximation theorem, mostly used in deep learning.","Yes, I have heard of it"
,,What is it?,"Not sure, I cannot recall.",What is it?,"Not sure, I cannot recall."
,,You know what is a perceptron?,Yes.,what is a perceptron?,Yes.
,,What is it?,A perceptron is part of a neuron which takes a input function and gives you the output function depending on the weights of Information being processed.It is the simplest form of classification classifier model. When we are considering neural networks.It is the simplest form of classification classifier model. When we are considering neural networks.,What is it?,A perceptron is part of a neuron which takes a input function and gives you the output function depending on the weights of Information being processed.
,,Very good.,,,
,,what are the limitations of perceptron? What kind of classification can it perform?,"Perceptron can perform binary as well as multiclass classification, but it works better on binary.. Because the number of classes to classify from is the lower and the processing time is also lesser for that",what are the limitations of perceptron? What kind of classification can it perform?,"Perceptron can perform binary as well as multiclass classification, but it works better on binary.. Because the number of classes to classify from is the lower and the processing time is also lesser for that"
,,You know what is a bag of word?,Yes.,You know what is a bag of word?,Yes.
,,What is it?,It it displays it's a form of matrix that shows you the count of each word in a document. So it's a document term matrix.,What is it?,It it displays it's a form of matrix that shows you the count of each word in a document. So it's a document term matrix.
,,What do you use? Bag of words?,"When you want to understand the overall frequency, not frequency, the count of the word exact term in one or multi document corpus. Then you use bag of words, but it's better to use TFIDF because it takes into consideration the order of the words and Semantic understanding as well.",What do you use? Bag of words?,"When you want to understand the overall frequency, not frequency, the count of the word exact term in one or multi document corpus. Then you use bag of words, but it's better to use TFIDF because it takes into consideration the order of the words and Semantic understanding as well."
,,You know what are bigrams?,"Yes, Sir.",You know what are bigrams?,"Yes, Sir."
,,What are they?,"They are a part of a probabilistic model where you take if there are. If you want to analyze N words, then you take the n -1 previous words of it. So it's kind of like a Markov chain, but you consider N -1 terms before the word itself.",What are they?,"They are a part of a probabilistic model where you take if there are. If you want to analyze N words, then you take the n -1 previous words of it. So it's kind of like a Markov chain, but you consider N -1 terms before the word itself."
,,you have a sentence Which consists of nine words.How many bigrams can it generate?,It can generate 9. I think I'm not sure.,you have a sentence Which consists of nine words.How many bigrams can it generate?,It can generate 9. I think I'm not sure.
,,No problem. Thank you very much Priyanka.,"Thank you, Sir",,
,2,"Shreya, how are you?","Hello Sir, I'm fine.",,
,,"How are you, Sir?",I'm quite good.,,
,,"You have done Object oriented programming, right?","Yes, Sir.",,
,,In object oriented programming we have a Concept called function overloading or method overloading.What does it do?,"It's it's basically when you have multiple methods or functions with different parameters as their input and every time you are calling, let's say calling a function, let's call it chopped brackets and let's say the functions and. I mean the input variables inside it are of the form. Int, int and string. So when you're calling this particular function And let's say this another function with chop and instead of int, int, string, it's int, float, int. So whenever you're calling a particular function so there are chances that I think I'm confusing with polymorphism also. Yeah. So you're calling the particular function with the variables and automatically the function is called  So you can have two functions with the same names with different input variables. That's function overloading.",In object oriented programming we have a Concept called function overloading or method overloading.What does it do?,"It's it's basically when you have multiple methods or functions with different parameters as their input and every time you are calling, let's say calling a function, let's call it chopped brackets and let's say the functions and. I mean the input variables inside it are of the form. Int, int and string. So when you're calling this particular function And let's say this another function with chop and instead of int, int, string, it's int, float, int. So whenever you're calling a particular function so there are chances that I think I'm confusing with polymorphism also. Yeah. So you're calling the particular function with the variables and automatically the function is called  So you can have two functions with the same names with different input variables. That's function overloading."
,,Very good.,,,
,,How does it help us?,"Function overloading. OK so Maybe we should take a scenario where Maybe it is a particular function where the process is the same, so it analyzes the same or it gives you the same calculated output but the input variables might instead of be integers. It might be float variables, sometimes other times it might be int and there's an ambiguity in your program where you don't know what your input variables are going to be So in such a scenario we can create A method overloading with functions Different inputs but solves the same process.",How does it help us?,"Function overloading. OK so Maybe we should take a scenario where Maybe it is a particular function where the process is the same, so it analyzes the same or it gives you the same calculated output but the input variables might instead of be integers. It might be float variables, sometimes other times it might be int and there's an ambiguity in your program where you don't know what your input variables are going to be So in such a scenario we can create A method overloading with functions Different inputs but solves the same process."
,,Have you used anytime overloaded functions?,Yes. So when I worked for my object oriented project in seconds and no first semester I did use yes.,Have you used anytime overloaded functions?,Yes. So when I worked for my object oriented project in seconds and no first semester I did use yes.
,,What about current semester? Let's say in speech processing? Are you using overloaded function?,"So not in the project so far, but in For this lab, work for plotting for the purpose of plotting, I did use function overloading, but it was yeah, for Python. I did use for plotting of spectrograms and plotting of normal waveforms.",What about current semester? Let's say in speech processing? Are you using overloaded function?," not in the project so far, but in For this lab, work for plotting for the purpose of plotting, I did use function overloading, but it was yeah, for Python. I did use for plotting of spectrograms and plotting of normal waveforms."
,,"OK, so how do you read the audio file in Python?",There's the package called librosa.So you with help of lebrosa you can read your file., how do you read the audio file in Python?,There's the package called librosa.So you with help of lebrosa you can read your file.
,,"Again, hypothetically, let's say Libros a package has A function called read wave. Or read MP3. How do you know whether it is a overloaded function or it is just normal function?",So I do not know.,,
,,,,,
,,So let me give you a hint.Suppose the function is allowing you to give different kinds of input parameters.,Yes. So then it's an overloaded function.,,
,,So now do you see overloaded functions everywhere?,"Yes, so technically most functions are overloaded functions.",now do you see overloaded functions everywhere?,"Yes, so technically most functions are overloaded functions."
,,Very good.,,,
,,So now coming back to speech processing.,"Yes, Sir.",,
,,What is? What is a mel channel?,"Mel. OK, so Mel, frequency is it came into existence when we realized how the human ear processes or perceives sound differently. So the higher the frequency, the lesser our perception is on the sound. So based on that there was the mel channel created to convert any normal frequency onto the Mel Channel which works logarithmically.",What is a mel channel?,"Mel, frequency is it came into existence when we realized how the human ear processes or perceives sound differently. So the higher the frequency, the lesser our perception is on the sound. So based on that there was the mel channel created to convert any normal frequency onto the Mel Channel which works logarithmically."
,,"OK, how does it help us?","So it has this process, the speech better because for a machine when it's processing speech, it can identify the difference in frequencies very clearly like the higher even between 1000 Hertz and 1100 Hertz, it can identify the difference a machine can, but human ears can Not we identify smaller frequencies better and the higher the frequency gets, the more ambiguous it sounds. It sounds like the same frequency to us. So what happens is when you're processing speech, this quality is important because speech basically comes from humans, right? So the way humans perceive the same.So it is important for us to process and get the features better. So that is why there is better.",how does it help us?," it has this process, the speech better because for a machine when it's processing speech, it can identify the difference in frequencies very clearly like the higher even between 1000 Hertz and 1100 Hertz, it can identify the difference a machine can, but human ears can Not we identify smaller frequencies better and the higher the frequency gets, the more ambiguous it sounds. It sounds like the same frequency to us. So what happens is when you're processing speech, this quality is important because speech basically comes from humans, right? So the way humans perceive the same.So it is important for us to process and get the features better. So that is why there is better."
,,Correct.,,,
,,So you know what is short time Fourier transform.,"Yes, Sir.",you know what is short time Fourier transform.,"Yes, Sir."
,,What is it?,"A short time Fourier transform of the understanding. The reason it came behind the reason it came was because in a frequency of a speech.There, there's no constant frequency or constant intensity is always a varying range of frequencies when you're speaking. So when you're going to do a forget transfer of the whole signal, you lose out on many temporal characteristics of the speech.Which which basically reduces the accuracy of your model later on. So instead of doing a Fourier transform on the whole signal, we divide it into parts or the windows. So that's how the word short time for your transform came. So it takes short short windows of the same frequency and then transforms it onto the spectral domain.",What is it?,"A short time Fourier transform of the understanding. The reason it came behind the reason it came was because in a frequency of a speech.There, there's no constant frequency or constant intensity is always a varying range of frequencies when you're speaking. So when you're going to do a forget transfer of the whole signal, you lose out on many temporal characteristics of the speech.Which which basically reduces the accuracy of your model later on. So instead of doing a Fourier transform on the whole signal, we divide it into parts or the windows. So that's how the word short time for your transform came. So it takes short short windows of the same frequency and then transforms it onto the spectral domain."
,,Very good. Well explained.,"Thank you, Sir.",,
,,So what about wavlets?,So what about?,what about wavlets?,
,,Wavelets. You know. What are wavelets?,"No. So I've heard the term, but I Don't know what they are.",What are wavelets?,"I've heard the term, but I Don't know what they are."
,,"OK, no problem. OK, you know you are you. We spoke about Fourier transform. When you take a real signal like speech.","Yes, Sir.",,
,,And you employ a Fourier transform on it. What? What does the output look like?,So the output would. It will have varying like it will go up and then it will go down. And like I don't know how to explain Sir.It will be very just. Like it will ba all over the place it will Not be smooth curve or anything., you employ a Fourier transform on it. What? What does the output look like?,So the output would. It will have varying like it will go up and then it will go down. And like I don't know how to explain Sir.It will be very just. Like it will ba all over the place it will Not be smooth curve or anything.
,,"No, but let's not go into the curves. Let's talk about the numbers.",Which you'll say Are they real numbers? They are complex numbers.,,
,,What are they?,Fair,,
,,"Now suppose instead of doing a Fourier transform, you do a DCT that is discrete cosine transform.Would you still get complex numbers or would you get Only real numbers?",I do not know.,,
,,No problem.,"I think, but mostly we'll get only real numbers. That's why DfT is preferred.",,
,,"Real numbers will get that's why it is prefered, OK.",,,
,,Very good.,,,
,,So how do you think you did?,"For me, I I think I did good.",,
,,OK. Were you tense?,"No, Sir. It was nice to think and explain the answer, so I was not tense.",,
,,"OK, what about Priyanka?","She was also not tensed. She was Very relaxed and She had to think a little, but She just had to think so it.Was not tense.",,
,,,"Yes, Sir. I think at this point we've gotten used to Vivas and evaluation. So it wasn't very stressful.",,
,,Wonderful. Thank you very much. Have a good.,"Thank you. Thank you, Sir.",,
,,,,,
,,,,,
1,1,"So can you tell me, uh, we'll go one after another. First. We'll start through the . Then we'll go to . Okay.","Okay. Okay, sir.",What is sampling?,"Uh, sampling means the process of process of converting a continuous signal into discret signal. "
,,"Okay. So suppose you sample a signal at 10 kilohertz, what is the maximum frequency which will be available in the signal?","I think, uh,I think my, my, sorry, my, uh, 20 kilowatt, 20 kilowatt,","So suppose you sample a signal at 10 kilohertz, what is the maximum frequency which will be available in the signal?",20 kilowatt
,,So what happens to the signals which are beyond 20 kilowatts?Did you understand my question? Did you understand my question?,"Yes, sir. ",So what happens to the signals which are beyond 20 kilowatts?,
,,"See, you are saying you are, we are sampling a signal at 10 kilohertz. And as for you, the maximum frequency present in this signal is 20 kilohertz. My question is what happens to all those signal components which are beyond 20 kilohertz?",Not getting through. ,"we are sampling a signal at 10 kilohertz. ,the maximum frequency present in this signal is 20 kilohertz.what happens to all those signal components which are beyond 20 kilohertz?",Not getting through. 
,,Suppose the input signal is a real signal. Okay. And I am doing a Fourier transform on it. What kind of signal will be [00:03:00] generated from for transfer,"after applying for transform, um, we'll get, uh, signal with the real value inputs. Sorry, I didn't get it. Can you please repeat that after applying, uh, f uh, uh, we'll get the, like a con symmetry. Conjugate symmetry.",the input signal is a real signal And I am doing a Fourier transform on it. What kind of signal will be generated from for transfer,Conjugate symmetry.
,,Conjugate symmetry.Is that what you are saying like,"like, uh, like, uh,uh,like after giving the real input values After applying FFT we will get a complex value. You will get a complex value.",Conjugate symmetry.Is that what you are saying,we will get a complex value
,,You will get a complex value.?You will get one complex value or many complex values.,I think many ,You will get one complex value or many complex values.?,I think many 
,,"so, how many suppose? you have a signal which is having 50 values. How many complex values will be generated",around 100,you have a signal which is having 50 values. How many complex values will be generated,100
,,okay can you tell me one drawback of Fourier transform?,it is limited to time resolution or it may not capture the non stationary speech and speech characters. ,one drawback of Fourier transform?,it is limited to time resolution or it may not capture the non stationary speech and speech characters. 
,,So you said non stationary. What do you mean by non stationary?,"Uh, like it changed the signal changes over time",What do you mean by non stationary?,it changed the signal changes over time. 
,,Okay. And how do you know the signal is changing? Do you have some parameters to specify?,"Like, uh, mean or, uh,mean or variance.",Do you have some parameters to specify?,mean or variance.
,,OK. Let's say we have two events. Event A and event B. OK. And they are independent of each other. OK. So what is the conditional probability of B? ,P = P of. P of A given B is equals 2P of a. Into P of B. ,we have two events. Event A and event B. OK. And they are independent of each other. OK. So what is the conditional probability of B? ,
,,OK. Very good. When can you say 2 vectors to be independent of each other? ,Independent. Can you come? ,When can you say 2 vectors to be independent of each other? ,Independent.
,,sorry,"Can you come again, Sir? ",,
,,Do you have a signal problem? Are you able to hear me clearly? ,"I said I. Have little signal problems, Sir. So. ",,
,,"OK. So my question was, when do you say 2 vectors to be independent? Of each other. ","Two vectors can be can be very important. If one vectors cannot be expressed as a scalar of another vector, then there can be. ",when do you say 2 vectors to be independent? Of each other. ,"Two vectors can be can be very important. If one vectors cannot be expressed as a scalar of another vector, then there can be. "
,,OK and. Suppose I give you 2 vectors. How will you find out whether they are independent or not? ,For writing 1 vector in the form multiplying the scalar so that we can get the another vector. , I give you 2 vectors. How will you find out whether they are independent or not? ,For writing 1 vector in the form multiplying the scalar so that we can get the another vector. 
,,"OK. That is, that is a good approach. What is rank of a matrix? ",The number of independent rows or columns. , What is rank of a matrix?,The number of independent rows or columns. 
,,Very good. Let's say you have an identity matrix of order N. What is the rank of such a matrix? ,N sir,Let's say you have an identity matrix of order N. What is the rank of such a matrix? ,N 
,,"And OK, when can you have a matrix with rank equal to 0? ",At least one is there,when can you have a matrix with rank equal to 0? ,At least one is there
,,The rank of a matrix will. Be at least one. ,Minimum one,The rank of a matrix will. Be at least one. ,Minimum one
,,Minimum rank is one?,yes..sir,Minimum rank is one?,yes..sir
,,You cannot have rank 0.,Oh no sir..,You cannot have rank 0.,Oh no sir..
,,Suppose you have a zero matrix. What is the rank of this zero matrix? ,3 dependent columns of those are. Zero matrix. For N order matrix to have N Independent 0 columns are rows,Suppose you have a zero matrix. What is the rank of this zero matrix? ,For N order matrix to have N Independent 0 columns are rows
,,"No, my the matrix is all zeros. What is the rank of such a matrix? ",one..because we have one row with zero's and all the rows are same and all the columns are same,"No, my the matrix is all zeros. What is the rank of such a matrix? ",one..because we have one row with zero's and all the rows are same and all the columns are same
,,Then why not? If it is a general matrix of order and why not its? Rank is N. ,Because there was a dependence all of yours. ,Then why not? If it is a general matrix of order and why not its? Rank is N. ,Because there was a dependence all of yours. 
,,How can you say they are independent? ,"For example, if the 1st row is the all zeros and 2nd row also all zeros. If you multiply with another scale of then. 2nd row will come first so. Both are independent. If we do for all the rows, then all rows will lose 0 zeros on them with 0. ",How can you say they are independent? ,"For example, if the 1st row is the all zeros and 2nd row also all zeros. If you multiply with another scale of then. 2nd row will come first so. Both are independent. If we do for all the rows, then all rows will lose 0 zeros on them with 0. "
,,"OK. Yeah, that's a good thinking. Thank you very much. ",Thanks.,,
,,"Yeah, bye.",Yeah.,,
2,2,"OK.So before your friend Join, so we can get. Started with you sukant. ","OK, Sir. Yes, Sir.",,
,,"So between the three subjects. Deep learning, speech processing and NLP. Which subject are you more comfortable with? ","Between deep learning, NLP and speech, I would say I'm kind of comfortable with NLP. "," between the three subjects. Deep learning, speech processing and NLP. Which subject are you more comfortable with? ",NLP.
,,Very good.So then let's talk about another bill.,"OK, Sir.",So then let's talk about another bill. ,"OK, Sir."
,,When do you use a similarity measure? ,"In NLP projects.Similarity measure can be used. Let's say there's a document with a particular set of words and another document with a particular set of words, and you want to take code words that are similar and very common. So in this place and we want to give more weightage to the words that are very unique. so in this place we can use a similarity measure between the two documents and. 
Find out if the documents are very similar and if they're very similar and we want to take our very common things between the two documents, then we can use the similarity measures between these two documents.  ",When do you use a similarity measure? ,"In NLP projects.Similarity measure can be used. Let's say there's a document with a particular set of words and another document with a particular set of words, and you want to take code words that are similar and very common. So in this place and we want to give more weightage to the words that are very unique. so in this place we can use a similarity measure between the two documents and. 
Find out if the documents are very similar and if they're very similar and we want to take our very common things between the two documents, then we can use the similarity measures between these two documents.   very common. So in this place and we want to give more weightage to the words that are very unique. so in this place we can use a similarity measure between the two documents and. "
,,Very good. How do you use similarity measure for such a situation? Which? You have explained. ,"OK, one similarity measure that I have worked with, well, I would say TFIDF which is term frequency and inverse document frequency. So it takes the document frequency of a particular term within one particular document and the term frequency of the same word in another document and it sees and it compares what is the frequency of the word. And of the frequency of the word in both the documents are relatively higher than its given weightage of 0. Using the formulas of TF and IDF individually and combining them by multiplying the formulas or the output of TF and IDF finally taking out the words which are very common between the two documents and applying the similarity. ",How do you use similarity measure for such a situation? Which? You have explained. ," one similarity measure that I have worked with, well, I would say TFIDF which is term frequency and inverse document frequency. So it takes the document frequency of a particular term within one particular document and the term frequency of the same word in another document and it sees and it compares what is the frequency of the word. And of the frequency of the word in both the documents are relatively higher than its given weightage of 0. Using the formulas of TF and IDF individually and combining them by multiplying the formulas or the output of TF and IDF finally taking out the words which are very common between the two documents and applying the similarity. "
,,So which kind of similarity measure would you use in this particular scenario? ,"I don't know exactly, Sir. Like. ",which kind of similarity measure would you use in this particular scenario? ,"I don't know exactly, Sir. Like."
,,OK. What are the different similarity?Measures do you know?  ,"OK. I I don't recall. Ohh, cosine should be one of them. Cosine measures was one of the similarity measures that we have. Done, I think. Technically, almost a word and a token are almost same, but word token is formed when a particular sentence is broken down into individual words. Is what I would say.", What are the different similarity?Measures do you know?  ,"I I don't recall. Ohh, cosine should be one of them. Cosine measures was one of the similarity measures that we have. Done, I think Technically, almost a word and a token are almost same, but word token is formed when a particular sentence is broken down into individual words. Is what I would say."
,,,,,
,,Would you say all words are tokens or would you say all tokens are words? ,"No, Sir. Like token, there's a flexibility with tokens. We can actually group few words and call it as one particular token if it is necessary for a particular project or a particular approach in a particular project.  So if I want to, if there's a sentence I am sukant and I'm studying in Amrita University, then we can break down the tokens into each individual word. That is I am sukan or the token and each of these individual words can be a particular token or we can also tokenize saying that we want a token to be I am sukant as one token then studying a numerator as one token and In Amrita University, as another token then, you can also group these words and make it as a particular token as well, Sir. ",Would you say all words are tokens or would you say all tokens are words? ,"No, Sir. Like token, there's a flexibility with tokens. We can actually group few words and call it as one particular token if it is necessary for a particular project or a particular approach in a particular project. So if I want to, if there's a sentence I am sukant and I'm studying in Amrita University, then we can break down the tokens into each individual word. That is I am sukan or the token and each of these individual words can be a particular token or we can also tokenize saying that we want a token to be I am sukant as one token then studying a numerator as one token and In Amrita University, as another token then, you can also group these words and make it as a particular token as well, Sir"
,,,,,
,,"Very good, wonderful explanation.Where do you use the concept of independent vectors in text processing?  ",I don't recall so. ,Where do you use the concept of independent vectors in text processing?  ,I don't recall so. 
,,OK. So let's say you have a log document maybe 20 ,Sorry Sir. ,So let's say you have a log document maybe 20 ,So let's say you have a log document maybe 20 
,,You have a lengthy document. ,"OK, Sir. ",You have a lengthy document. ,"OK, Sir. "
,,Maybe 20 pages? ,"OK, Sir. ",Maybe 20 pages? ,"OK, Sir. "
,,"And assuming there are 500 words present in every page. So that's basically amounting to around 10,000 watts. ","Yes, Sir. ","And assuming there are 500 words present in every page. So that's basically amounting to around 10,000 watts. ","Yes, Sir. "
,,Now you want to find out whether this document is having a positive sentiment or a negative sentiment. ,"OK, Sir. ",Now you want to find out whether this document is having a positive sentiment or a negative sentiment. ,"OK, Sir. "
,,What would you do to achieve this goal? ,"So first, even though there are like, uh, like 10,000 words or even though there's a lot of text content in this, uh, 20 pages that you mentioned, it will have to go under the tokenization and a lot of preprocessing so that they can break down the words and give the words a particular weightage. So if it's a positive word, then a particular weight should be given. And if it's a negative word a particular weight should be given and along with all the text data if there is. If there is a word that is capitalized, then and if it's a negative word, then a different type of wage should be and with that, and if it's a +1 and it is capitalized, so even the case of the word will also play a role in identifying the sentiment analysis. If it's a negative text or a positive text As for the whole document. So tokenization is one of them, and along with that. Sentiment analysis can be done by.Giving the weightages correct. ",What would you do to achieve this goal? ,"first, even though there are like, uh, like 10,000 words or even though there's a lot of text content in this, uh, 20 pages that you mentioned, it will have to go under the tokenization and a lot of preprocessing so that they can break down the words and give the words a particular weightage. So if it's a positive word, then a particular weight should be given. And if it's a negative word a particular weight should be given and along with all the text data if there is. If there is a word that is capitalized, then and if it's a negative word, then a different type of wage should be and with that, and if it's a +1 and it is capitalized, so even the case of the word will also play a role in identifying the sentiment analysis. If it's a negative text or a positive text As for the whole document. So tokenization is one of them, and along with that. Sentiment analysis can be done by.Giving the weightages correct. "
,,"Very good.So let's say you have joined a company and they're asking. You to do this. OK, but your constraint is you cannot use Python because Python is not one of the approved technologies to be used in the company's ecosystem. ","OK, Sir. ","So let's say you have joined a company and they're asking. You to do this. OK, but your constraint is you cannot use Python because Python is not one of the approved technologies to be used in the company's ecosystem. ","OK, Sir. "
,,So what would you do?What technology would you pick? Which programming language would you pick for doing this? ,I I I don't know how well the Java Java programming language has developed in terms of making models and how efficient it is for the deep learning or NLP processing models. But again I think Java would be the alternate alternate language which I would choose after Python.For doing this. ,So what would you do?What technology would you pick? Which programming language would you pick for doing this? , I don't know how well the Java Java programming language has developed in terms of making models and how efficient it is for the deep learning or NLP processing models. But again I think Java would be the alternate alternate language which I would choose after Python.For doing this. 
,,Why? ,Why..I think if we can code in Python then translating that with the coding skills towards Java should not be very difficult and Comparatively difficult to any other languages is what I feel. So maybe Java will be the better option over here. ,Why? ,Why..I think if we can code in Python then translating that with the coding skills towards Java should not be very difficult and Comparatively difficult to any other languages is what I feel. So maybe Java will be the better option over here. 
,,In Java and object oriented programming language or it is a non object oriented? ,"It it it it is, Sir, it is. It is object oriented language, Sir. ",In Java and object oriented programming language or it is a non object oriented? ," it is, Sir, it is. It is object oriented language, Sir. "
,,"Thank you very much, sukant. We'll move on to Hemant. ","Thank you, Sir. So can I leave the meat or should I stay in the meat Sir? ",,
,,It is your choice. You can leave. ,"OK, Sir. Thank you, Sir. ",,
,,"So Hemant, how are you?","Fine, Sir","So Hemant, how are you?","Fine, Sir"
,,"Good. You heard your friend saying that Java is an object oriented programming language, right?","Yes, Sir",,
,,What do you understand when someone says that it's an object oriented programming language? ,"Uh, so when? Like when Java is called an object oriented language because it consists of four properties.One mainly because it encapsulates code in classes.And you can you can use those. Use that code again so it helps in reusability of code rather than repeating the same section of code again and again.Also, there are two other things like there's method overriding and method.Method overriding and method overloading where you can either change the function of the method at runtime or at compile time. You can for the same for one method you can of one for one name of the method. You can add. You can have different functionalities based on the number of parameters given.So that is what I understood from. ","You heard your friend saying that Java is an object oriented programming language, right?"," Like when Java is called an object oriented language because it consists of four properties.One mainly because it encapsulates code in classes.And you can you can use those. Use that code again so it helps in reusability of code rather than repeating the same section of code again and again.Also, there are two other things like there's method overriding and method.Method overriding and method overloading where you can either change the function of the method at runtime or at compile time. You can for the same for one method you can of one for one name of the method. You can add. You can have different functionalities based on the number of parameters given.So that is what I understood from. "
,,Can you give an example of method overloading? ,"So if I write a function in a class, say animal, I can write.OK, I can write eat when there is when there are two parameters that is time and.I can write when there's one parameter that is only when food is available or I can write 2 parameters when there's food and a given time so In the second case, the animal will be ready when the food comes or during that time or whenever it sees food. It can eat food for the first case. ",Can you give an example of method overloading? ,"So if I write a function in a class, say animal, I can write.OK, I can write eat when there is when there are two parameters that is time and.I can write when there's one parameter that is only when food is available or I can write 2 parameters when there's food and a given time so In the second case, the animal will be ready when the food comes or during that time or whenever it sees food. It can eat food for the first case. "
